,num_mc_samples,model_train_size,image_id,agg_uncertainty
353,20,270,acdc_data3_20211029_pos_1_138,0.12283725
354,20,270,acdc_data3_20211029_pos_1_141,0.16168836
355,20,270,acdc_data3_20211029_pos_1_144,0.14766681
356,20,270,acdc_data3_20211029_pos_1_147,0.087775804
357,20,270,acdc_data3_20211029_pos_1_15,0.027870312
358,20,270,acdc_data3_20211029_pos_1_150,0.1734612
359,20,270,acdc_data3_20211029_pos_1_153,0.17852218
360,20,270,acdc_data3_20211029_pos_1_156,0.091349825
361,20,270,acdc_data3_20211029_pos_1_159,0.08244453
362,20,270,acdc_data3_20211029_pos_1_162,0.13183646
363,20,270,acdc_data3_20211029_pos_1_165,0.16095744
364,20,270,acdc_data3_20211029_pos_1_168,0.18904422
365,20,270,acdc_data3_20211029_pos_1_171,0.06731298
366,20,270,acdc_data3_20211029_pos_1_174,0.06810222
367,20,270,acdc_data3_20211029_pos_1_177,0.13201849
368,20,270,acdc_data3_20211029_pos_1_18,0.0
369,20,270,acdc_data3_20211029_pos_1_180,0.20211658
370,20,270,acdc_data3_20211029_pos_1_183,0.15963538
371,20,270,acdc_data3_20211029_pos_1_186,0.15606236
372,20,270,acdc_data3_20211029_pos_1_189,0.20027354
373,20,270,acdc_data3_20211029_pos_1_192,0.2175207
374,20,270,acdc_data3_20211029_pos_1_195,0.11114854
375,20,270,acdc_data3_20211029_pos_1_198,0.11185029
376,20,270,acdc_data3_20211029_pos_1_21,0.038
377,20,270,acdc_data3_20211029_pos_1_24,0.0
378,20,270,acdc_data3_20211029_pos_1_27,0.0
379,20,270,acdc_data3_20211029_pos_1_3,0.44925198
380,20,270,acdc_data3_20211029_pos_1_30,0.10894176
381,20,270,acdc_data3_20211029_pos_1_33,0.0
382,20,270,acdc_data3_20211029_pos_1_36,0.08530025
383,20,270,acdc_data3_20211029_pos_1_39,0.19763038
384,20,270,acdc_data3_20211029_pos_1_42,0.21916209
385,20,270,acdc_data3_20211029_pos_1_45,0.08099314
386,20,270,acdc_data3_20211029_pos_1_48,0.074059226
387,20,270,acdc_data3_20211029_pos_1_51,0.24791142
388,20,270,acdc_data3_20211029_pos_1_54,0.023141226
