,num_mc_samples,model_train_size,image_id,run_id,agg_uncertainty
247,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,7,0.36724642
248,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,8,0.3516223
249,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,9,0.3417314
250,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,0,0.2582771
251,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,1,0.27561778
252,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,2,0.2884562
253,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,3,0.29065326
254,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,4,0.2654242
255,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,5,0.2654224
256,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,6,0.26249415
257,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,7,0.25995958
258,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,8,0.27441204
259,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,9,0.27013478
260,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_171,0,0.24106404
261,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_171,1,0.25027552
262,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_171,2,0.23429346
263,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_171,3,0.23936228
264,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_171,4,0.2530529
